worktree_id	head	mode	branch	dirty	disposition
ee956e95bd7be092	28fbba27e3715562626db14ddf95ff0cd071e363	branch	codex/5860-quality-release-readiness	clean	preserve_registration_branch_and_existing_work
ef8a23abdee603f6	e868c4a3ddf0d3e07330b3ab47170ec7cf123e9b	branch	codex/5855-v092-sprint2-readiness	clean	preserve_registration_branch_and_existing_work
f1d7af000d7fe78d	f7258b07e9da414bfee518f0c89a76071bc03ee8	branch	codex/distributed-polis-plan	clean	preserve_registration_branch_and_existing_work
f27c7745b3a001b6	271906aa395b9885a4021256a2d9fef3ce19e515	branch	codex/5498-closeout-audit	clean	preserve_registration_branch_and_existing_work
f3a77ef2cdb15e55	a04e9287b724e2722d728cd647c857405b8e425b	branch	codex/v0917-multi-agent-notes	clean	preserve_registration_branch_and_existing_work
f5d1ff55352e009e	e8c63268429b0162671e7f1bfae5f560171d7099	branch	codex/5354-v0918-wp15-ready	dirty	preserve_registration_branch_and_existing_work
f6f6dde5984ae6e4	cd8756a7293ef425e630dc7091be657c971874a4	branch	codex/v0917-closeout-audit-register	clean	preserve_registration_branch_and_existing_work
fc7797af189e62bd	5f40f6cceac6c44518818bf06ad3ee190c8b83a9	branch	codex/5566-existing-worktree-bind	dirty	preserve_registration_branch_and_existing_work
fe0594fbe5d31054	0fb698473c1d5399191abb09c41744db811f6804	branch	codex/5335-v0918-adl-core-rearchitecture-planning	dirty	preserve_registration_branch_and_existing_work
fe2596d4ff0e50ab	39417434827eb126332cab816d98073019c0cf38	branch	codex/5860-quality-release-repair	dirty	preserve_registration_branch_and_existing_work
